,ad_id,location,price,title,room_count,project
28,1224406696,Cumhuriyet Mah.,"71,500,000 TL",SAHİBİNDEN ELYSİUM FANTASTİC 4+1 TERAS İÇİ KIŞ BAHÇELİ,4+1,Normal Daire
29,1153539352,Cumhuriyet Mah.,"19,000,000 TL",ANTHILL RESIDENCE 2+1 2 BANYOLU SATILIK FIRSAT DAİRE,2+1,Anthill
30,1212802925,Cumhuriyet Mah.,"12,895,000 TL",HER'O BROKER - SİNPAŞ QUEEN BOMONTİ'DE NEW YORK STİLİ YAŞAM!,1+1,SİNPAŞ
31,1225010844,Cumhuriyet Mah.,"7,000,000 TL",SADIK ŞENDİL SOKAKTA 3+1 100 M2 SATILIK AYDINLIK DAİRE,3+1,
32,1092661109,Cumhuriyet Mah.,"8,150,000 TL",ÇINAR GAYRİMENKUL'DEN ANTHILL KARŞISI SIFIR BOŞ DUBLEKS DAİRE,3+1,Anthill
33,1242116869,Cumhuriyet Mah.,"12,000,000 TL",BOMONTİ ANTHİLL SATILIK 98M2 BÜYÜKTİP 16.KAT 1+1 DAİRE-NoterTah.,1+1,Anthill
34,1212629186,Cumhuriyet Mah.,"23,500,000 TL",Şişli Bomonti Anthill Köşe Balkon Büyük 2+1 121 m2 Satılık,2+1,Anthill
35,1151375840,Cumhuriyet Mah.,"14,500,000 TL",ŞİŞLİ ANTHİLL'DE GÜZEL KONUMDA 38 KAT 1+1 DAİRE,1+1,Anthill
36,1226338386,Cumhuriyet Mah.,"24,300,000 TL",BOMONTİ DİVAN RESİDENCE 2+1 FIRSAT DAİRE,2+1,Divan
37,1146514104,Cumhuriyet Mah.,"10,900,000 TL",BOMONTİ ANTHILL RESİDENCE 1+1 SATILIK FIRSAT DAİRE,1+1,Anthill
38,1194869789,Cumhuriyet Mah.,"17,000,000 TL",SİNPAŞ QUEEN CENTRAL PARK 2+1 FIRSAT SATILIK DAİRE,2+1,SİNPAŞ
39,1207964964,Cumhuriyet Mah.,"15,400,000 TL",SİNPAŞ QUEEN CENTRAL PARK 2+1 SATILIK DAİRE,1+1,SİNPAŞ
40,1144298110,Cumhuriyet Mah.,"17,500,000 TL","Sinpaş Queen Bomonti Vatandaşlığa Uygun By Rotana,Divan,Anthill",1+1,SİNPAŞ
41,1236788107,Cumhuriyet Mah.,"4,975,000 TL",FİYAT DÜŞTÜ ŞİŞLİ SADIKŞENDİL SOKAKTA 3+1 KATMÜLKİYETLİ SATILIK,3+1,
42,1222210356,Cumhuriyet Mah.,"16,000,000 TL",Anthill de büyük 2+1,2+1,Anthill
43,1140428484,Cumhuriyet Mah.,"17,500,000 TL",Sinpaş Queen Bomonti'de Şehir Manzaralı Fırsat 2+1 Satılık,2+1,SİNPAŞ
44,1075585119,Cumhuriyet Mah.,"10,950,000 TL",Anthill Residence1+1 yüksek kat balkonlu güncel tek yetkili,1+1,Anthill
45,1177367685,Cumhuriyet Mah.,"18,000,000 TL",BOMONTİ DİVAN RESİDENCE 1+1 BOĞAZ MANZARALI SATILIK DAİRE,1+1,Divan
46,1162550869,Cumhuriyet Mah.,"3,500,000 TL",ŞİŞLİ'DE SATILIK 2+1 YATIRIMLIK DAİRE,2+1,Normal Daire
47,1186732676,Cumhuriyet Mah.,"14,750,000 TL",Anthill Residence 28.Kat Projenin En İyi Manzaralı 1+1 Dairesi,1+1,Anthill
48,1087469041,Cumhuriyet Mah.,"8,875,000 TL","THE HOUSE RESİDENCE FIRSAT STÜDYO DAİRE, SİNPAŞ YANI,BOMONTİ",Studio Flat (1+0),SİNPAŞ
49,1236973130,Cumhuriyet Mah.,"14,000,000 TL",SİNPAŞ QUEEN 1+1 Yüksek K. Köşe Kapalı Mutfak Teraslı BOŞ Sıfır,1+1,SİNPAŞ
0,1244617979,Cumhuriyet Mah.,"12,000,000 TL",Divan Residence Satılık 1+1 Boş,1+1,Divan
1,1223255930,Cumhuriyet Mah.,"7,000,000 TL",şişli Bomonti'de asos'tan satılık fırsat daire,2+1,
2,1244599472,Cumhuriyet Mah.,"9,800,000 TL","Satılık 1+1 Boş Anthill , Divan , Sinpaş",1+1,Anthill
3,1243013859,Cumhuriyet Mah.,"8,500,000 TL",ELYSIUM RESIDENCE BOMONTİ SATILIK 1+1 DAİRE,1+1,Elysium Fantastic
4,1230943349,Cumhuriyet Mah.,"13,750,000 TL",Şişli SİNPAŞ QUEEN 1+1 (Sıfır) BOŞ Yüksek Kat Şehir Manzara,1+1,SİNPAŞ
5,1236427264,Cumhuriyet Mah.,"22,400,000 TL",SİNPAŞ QUEEN BOMONTİ AÇIK MUTFAK KÖŞE VATANDAŞLIĞA UYGUN!!!,1+1,SİNPAŞ
6,1211191072,Cumhuriyet Mah.,"14,150,000 TL",SİNPAŞ QUEEN KÖŞE KAPALI MUTFAK ŞOK FİYAT BOŞ KİRACISIZ 1+1,1+1,SİNPAŞ
7,1230232031,Cumhuriyet Mah.,"14,900,000 TL",ANTHILL RESIDENCE 2+1 SATILIK BOŞ DAİRE,2+1,Anthill
8,1241676043,Cumhuriyet Mah.,"17,500,000 TL",SİNPAŞ QUEEN YÜKSEK KAT EŞYALI SATILIK 1+1 BOĞAZ MANZARALI,1+1,SİNPAŞ
9,1241506636,Cumhuriyet Mah.,"13,800,000 TL",EN UYGUN BÜYÜK TİP 1+1 / SIFIR DAİRE,1+1,
10,1236048047,Cumhuriyet Mah.,"18,380,000 TL",ANTHİLL RESIDENCE ARA KATTA ŞAHANE MANZARALI KÖŞE SATILIK 2+1,2+1,Anthill
11,1241879654,Cumhuriyet Mah.,"21,000,000 TL","Anthill 19,kat 2+1 manzaralı",2+1,Anthill
12,1243890539,Cumhuriyet Mah.,"14,200,000 TL",ANTHİLL RESİDENCE BOMONTİ 2+1 TEK BANYOLU BOŞ FIRSAT SATILIK,2+1,Anthill
13,1235549305,Cumhuriyet Mah.,"11,000,000 TL",Divan Residence Satılık,1+1,Divan
14,1243817373,Cumhuriyet Mah.,"10,500,000 TL",ANTHİLL RESİDENCE BOMONTİ 1+1 KÖŞE FIRSAT SATILIK DAİRE,1+1,Anthill
15,1204220530,Cumhuriyet Mah.,"16,850,000 TL",SİNPAŞ QUEEN 1+1 KÖŞE 106 M2 BOŞ DAİRE-BOMONTİ,1+1,SİNPAŞ
16,1235961197,Cumhuriyet Mah.,"8,250,000 TL",Sinpaş queen 1+0 48m2 Yüksek Kat BOŞ Satılık فروشی For Sale,Studio Flat (1+0),SİNPAŞ
17,1235532640,Cumhuriyet Mah.,"14,200,000 TL",ANTHİLL BOMONTİ 2+1 2 BANYOLU BOŞ SATILIK DAİRE -ŞİŞLİ- DİVAN,2+1,Anthill
18,1235959623,Cumhuriyet Mah.,"13,850,000 TL",Sinpaş QUEEN 1+1 Yüksek K. K.Mutfak Köşe BOŞ Satılık - Şişli,1+1,SİNPAŞ
19,1207200599,Cumhuriyet Mah.,"14,550,000 TL",SİNPAŞ QUEEN 2+1 BALKONLU FIRSAT DAİRE-BOMONTİ,2+1,SİNPAŞ
20,1233155645,Cumhuriyet Mah.,"14,000,000 TL",Şişli queen bomonti 1+1 kapalı mutfak,1+1,SİNPAŞ
21,1236904614,Cumhuriyet Mah.,"15,500,000 TL",THE HOUSE RESİDENCE 1+1 FIRSAT EN İYİ FIYAT-BOMONTİ,1+1,
22,1225231146,Cumhuriyet Mah.,"25,000,000 TL",SİNPAŞ QUEEN 2+1 CİTİZEN UYGUN YÜKSEK KAT FIRSAT DAİRE-BOMONTİ,2+1,SİNPAŞ
23,1194867903,Cumhuriyet Mah.,"17,000,000 TL",SİNPAŞ QUEEN CENTRAL PARK 1+1 FIRSAT DAİRE,1+1,SİNPAŞ
24,1241917775,Cumhuriyet Mah.,"16,750,000 TL",BOMONTİ ANTHİLL RESİDENCE 2+1 SATILIK FIRSAT DAİRE,2+1,Anthill
25,1231795133,Cumhuriyet Mah.,"12,000,000 TL",BOMONTİ DİVAN RESİDENCE 1+1 GÜNCEL SATILIK DAİRE,1+1,Divan
26,1242242304,Cumhuriyet Mah.,"13,800,000 TL",Satılık Yüksek Kat 1+1 Çift Banyolu,1+1,
27,1212411720,Cumhuriyet Mah.,"16,500,000 TL","SİNPAŞ 2+1,,KÖŞE, BALKONLU, BOŞ FIRSAT DAİRE-BOMONTİ",2+1,SİNPAŞ
28,1113403047,Cumhuriyet Mah.,"17,000,000 TL",Sinpaş Queen Bomonti'de Satılık 1+1 Vatandaşlığa Uygun Daire,1+1,SİNPAŞ
29,1218363185,Cumhuriyet Mah.,"9,900,000 TL",ANTHİLL RESİDENCE BOMONTİ 1+1 SATILIK BOŞ DAİRE - ŞİŞLİ,1+1,Anthill
30,1177524942,Cumhuriyet Mah.,"14,250,000 TL",Anthill Residence Satılık 2+1 Balkonlu Ebeveyn Banyolu Daire,2+1,Anthill
31,1222963125,Cumhuriyet Mah.,"9,990,000 TL",DİVAN 1+1 EŞYALI FIRSAT SATILIK DAİRE-BOMONTİ-SİNPAŞ YANI,1+1,SİNPAŞ
32,1142658914,Cumhuriyet Mah.,"17,750,000 TL",Sinpaş Queen Bomonti is Available for Sale for Citizenship,1+1,SİNPAŞ
33,1142656787,Cumhuriyet Mah.,"19,500,000 TL","Sinpaş Queen Bomonti Penthouse Citizenship 1+1 Anthill,By Rotana",1+1,SİNPAŞ
34,1181947408,Cumhuriyet Mah.,"18,000,000 TL",Sinpaş Queen Bomonti Boğaz Manzaralı 1+1 Citizenship Satılık,1+1,SİNPAŞ
35,1241644682,Cumhuriyet Mah.,"14,800,000 TL",SİNPAŞIN EN UYGUN 2+1 DAİRESİ (TEK YETKİLİ),2+1,SİNPAŞ
